train/train_time,Loss/loss/clip,eval_ret/std,Loss/loss/vf,total_time,train_ret/max,train_ret/min,eval_ret/mean,test/collect_time,env_step,Loss/loss,Loss/loss/ent,train/collect_time,train_ret/mean,train_ret/std,grad_step,epoch
16.802998304367065,-0.0021658348571061367,0.0,0.11576676781241518,119.6412844657898,3.0,-2.0,0.0,2.8881070613861084,53248,0.034652526436660155,2.1065022953045673,99.95018172264099,-0.049145299145299144,0.6953387348140179,624,1
34.017298221588135,-0.0025258338756453344,0.33071891388307384,0.11960414454388692,239.42998886108398,3.0,-2.0,-0.125,3.855658769607544,106496,0.03598692414100069,2.1289314734630103,201.55703473091125,-0.05749198717948718,0.7200258779922526,1248,2
49.96352195739746,-0.001904544431734114,0.7806247497997998,0.1166532251995821,352.57751417160034,4.0,-2.0,0.125,4.831439971923828,159744,0.03481518887341596,2.1606879761585818,297.7825548648834,-0.02931356837606838,0.7163116648118891,1872,3
66.60104274749756,-0.002423208554645475,0.0,0.1177958523771033,473.071635723114,3.0,-2.0,0.0,6.479299783706665,212992,0.03563061983097727,2.0844098264590287,399.9912962913513,6.67735042735062e-05,0.6929415533183588,2496,4
84.4505774974823,-0.0018490034962246097,0.6959705453537527,0.1112594428973702,596.3842833042145,2.0,-2.0,-0.375,7.398760795593262,266240,0.0328574867065375,2.0923231580318546,504.53494787216187,-0.012686965811965812,0.683763317782376,3120,5
98.38177633285522,-0.0019068749459573806,0.6959705453537527,0.11858464148229897,707.5174691677094,2.0,-3.0,-0.375,8.351396560668945,319488,0.0359145822122884,2.147086408657905,600.7842991352081,-0.023504273504273504,0.7150900511782106,3744,6
114.56589102745056,-0.0019528839232710504,0.6959705453537527,0.10676635829254222,820.0892326831818,3.0,-3.0,0.375,9.297104358673096,372736,0.03010085312864528,2.1329442503360605,696.2262394428253,-0.03191773504273504,0.6855538781018599,4368,7
130.8072316646576,-0.002578034910794276,0.6614378277661477,0.11690672405828267,932.7124774456024,3.0,-2.0,-0.25,10.378112316131592,425984,0.03468045701559346,2.1194870609503527,791.5271360874176,-0.057291666666666685,0.7200349112738419,4992,8
146.7399559020996,-0.0024578965206343965,0.5,0.10229787885402448,1053.4672536849976,4.0,-2.0,0.0,11.286892890930176,479232,0.0285378401257241,2.015320324744933,895.4404075145721,-0.01936431623931624,0.6743620171570068,5616,9
162.1028470993042,-0.0018031122312188528,0.82915619758885,0.106058044729229,1168.7181522846222,3.0,-3.0,-0.25,12.743837833404541,532480,0.03034441577843748,2.0881494849156113,993.8714702129364,0.0094150641025641,0.6711170374706183,6240,10
178.0309989452362,-0.003261253927261209,0.7806247497997998,0.11897460738411891,1290.3559954166412,3.0,-2.0,-0.125,14.06993293762207,585728,0.036010009042608246,2.021604123405921,1098.2550661563873,-0.016159188034188036,0.7045921520382386,6864,11
195.37014627456665,-0.0022990095086965878,0.6614378277661477,0.11957633056534596,1417.3482275009155,4.0,-2.0,-0.25,15.049401998519897,638976,0.03790982725779311,1.9579328865959091,1206.9286823272705,0.00874732905982906,0.7173601281379622,7488,12
209.43414974212646,-0.002433618301531683,0.4841229182759271,0.13517828471361634,1538.5272336006165,3.0,-3.0,0.625,16.178356409072876,692224,0.04616998308577026,1.8985541451435821,1312.9147305488586,0.010550213675213672,0.7586924961538216,8112,13
226.24771976470947,-0.0022743204123495766,0.7806247497997998,0.12369617067563995,1660.1381044387817,3.0,-3.0,-0.125,17.344589233398438,745472,0.04028322560808216,1.9290539673887768,1416.5457980632782,0.00527510683760684,0.7299988943400607,8736,14
243.78744411468506,-0.00259535682002584,0.9682458365518543,0.12407287718871465,1777.367647409439,3.0,-2.0,-0.25,18.314271450042725,798720,0.04021264996546774,1.9228432254913528,1515.2659358978271,-0.018028846153846152,0.7388020532688387,9360,15
261.1750440597534,-0.0027524708379925685,0.7071067811865476,0.1136240339778268,1895.393964290619,3.0,-2.0,0.0,19.283277988433838,851968,0.03446924146742393,1.95903052848119,1614.935644865036,0.02951388888888889,0.6983704923353034,9984,16
276.2743034362793,-0.002614542466546528,0.5,0.11447326662854698,2010.6682827472687,4.0,-2.0,0.0,20.43187713623047,905216,0.034829138058763094,1.979295323483455,1713.9621052742004,0.021701388888888895,0.7171643285298749,10608,17
293.33550238609314,-0.0027643276396422437,0.8660254037844386,0.1304596236262184,2125.948284626007,4.0,-2.0,0.0,21.51410436630249,958464,0.04211332574367332,2.035215888458949,1811.098680973053,0.07438568376068376,0.7559058917411595,11232,18
310.2874457836151,-0.0029124265517263366,0.7806247497997998,0.11385415917119154,2249.1445939540863,2.0,-2.0,0.125,22.640305519104004,1011712,0.03400980173132548,2.0004851577373652,1916.2168455123901,0.022702991452991452,0.6998656829339175,11856,19
327.33600974082947,-0.0022707706651626494,0.6959705453537527,0.11686285576806998,2369.3432910442352,3.0,-1.0,0.375,24.274373292922974,1064960,0.036227957091819585,1.9932700527402072,2017.732911348343,0.0532184829059829,0.7166729889016002,12480,20
343.1987192630768,-0.0029305687169723506,0.4841229182759271,0.12739000913018406,2486.0870928764343,3.0,-2.0,0.375,25.91986322402954,1118208,0.0417806233625668,1.8983812974049492,2116.9685151576996,0.10149572649572648,0.7487109525708475,13104,21
359.5198926925659,-0.002737998604947605,1.299038105676658,0.13914334448054436,2604.6646230220795,4.0,-3.0,0.25,26.87195920944214,1171456,0.04795082842405791,1.8882845701315465,2218.2727739810944,0.08046207264957261,0.7932970216757556,13728,22
